Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Water Gate Bridge,"$626,203,271","$117,294",<0.1%,"$626,085,977",100%
2,The Batman,"$617,351,000","$316,951,000",51.3%,"$300,400,000",48.7%
3,Uncharted,"$341,265,542","$129,865,542",38.1%,"$211,400,000",61.9%
4,Too Cool to Kill,"$217,255,728","$185,882",<0.1%,"$217,069,846",99.9%
5,Nice View,"$211,000,000",-,-,"$211,000,000",100%
6,Scream,"$139,917,102","$81,517,102",58.3%,"$58,400,000",41.7%
7,Death on the Nile,"$131,874,141","$44,474,644",33.7%,"$87,399,497",66.3%
8,Jackass Forever,"$78,299,422","$57,543,732",73.5%,"$20,755,690",26.5%
9,Dog,"$66,757,302","$56,344,938",84.4%,"$10,412,364",15.6%
10,Marry Me,"$49,103,975","$22,404,975",45.6%,"$26,699,000",54.4%
11,Moonfall,"$41,248,335","$19,060,660",46.2%,"$22,187,675",53.8%
12,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
13,The 355,"$27,414,674","$14,570,455",53.1%,"$12,844,219",46.9%
14,The Kashmir Files,"$24,510,593","$1,485,000",6.1%,"$23,025,593",93.9%
15,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
16,Radhe Shyam,"$15,964,263","$1,860,000",11.7%,"$14,104,263",88.3%
17,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
18,Blacklight,"$14,829,206","$9,591,094",64.7%,"$5,238,112",35.3%
19,Super-héros malgré lui,"$14,280,614",-,-,"$14,280,614",100%
20,Maison de retraite,"$13,782,342",-,-,"$13,782,342",100%
21,Wunderschön,"$13,471,720",-,-,"$13,471,720",100%
22,Valimai,"$13,276,393",-,-,"$13,276,393",100%
23,The Last 10 Years,"$12,515,780",-,-,"$12,515,780",100%
24,The Lost City,"$11,550,000","$11,550,000",100%,-,-
25,The Pirates: The Last Royal Treasure,"$10,266,142",-,-,"$10,266,142",100%
